Store,Dept,Date,Weekly_Pred
1.0,6.0,2011-03-04,1700.302499990914
1.0,6.0,2011-03-11,3098.052499993708
1.0,6.0,2011-03-18,2385.1024999907277
1.0,6.0,2011-03-25,4947.38249999192
1.0,6.0,2011-04-01,1611.6624999912492
1.0,6.0,2011-04-08,1907.8524999935216
1.0,6.0,2011-04-15,2499.8324999930373
1.0,6.0,2011-04-22,1424.2424999931864
1.0,6.0,2011-04-29,2215.2024999912865
1.0,7.0,2011-03-04,22201.204999969043
1.0,7.0,2011-03-11,24070.64499996666
1.0,7.0,2011-03-18,25253.09499996964
1.0,7.0,2011-03-25,18795.71499996882
1.0,7.0,2011-04-01,24969.124999968037
1.0,7.0,2011-04-08,23058.14499996666
1.0,7.0,2011-04-15,21871.76499996677
1.0,7.0,2011-04-22,21075.904999966435
1.0,7.0,2011-04-29,25264.984999968372
1.0,8.0,2011-03-04,37275.307499998285
1.0,8.0,2011-03-11,32841.857499999496
1.0,8.0,2011-03-18,32687.737499997987
1.0,8.0,2011-03-25,32080.93749999864
1.0,8.0,2011-04-01,36650.79749999851
1.0,8.0,2011-04-08,32645.177499999794
1.0,8.0,2011-04-15,31389.757499999403
1.0,8.0,2011-04-22,31445.34749999972
1.0,8.0,2011-04-29,32667.447499998416
1.0,9.0,2011-03-04,28258.065000001727
1.0,9.0,2011-03-11,29798.94499999882
1.0,9.0,2011-03-18,37561.355000002695
1.0,9.0,2011-03-25,32091.33500000128
1.0,9.0,2011-04-01,29628.385000002025
1.0,9.0,2011-04-08,30307.034999998672
1.0,9.0,2011-04-15,32976.22499999815
1.0,9.0,2011-04-22,28857.424999997405
1.0,9.0,2011-04-29,28228.785000002397
1.0,10.0,2011-03-04,37484.692499998564
1.0,10.0,2011-03-11,32393.422499995282
1.0,10.0,2011-03-18,37917.2324999986
1.0,10.0,2011-03-25,35592.38249999804
1.0,10.0,2011-04-01,35979.462499997186
1.0,10.0,2011-04-08,36671.702499994615
1.0,10.0,2011-04-15,36320.03249999562
1.0,10.0,2011-04-22,33276.57249999473
1.0,10.0,2011-04-29,34852.01249999793
1.0,11.0,2011-03-04,18722.850000003353
1.0,11.0,2011-03-11,17504.270000003744
1.0,11.0,2011-03-18,19378.370000003255
1.0,11.0,2011-03-25,17232.080000003334
1.0,11.0,2011-04-01,21402.41000000341
1.0,11.0,2011-04-08,21826.760000003735
1.0,11.0,2011-04-15,19631.900000003632
1.0,11.0,2011-04-22,16989.850000003702
1.0,11.0,2011-04-29,19641.70000000333
1.0,12.0,2011-03-04,10964.262499999402
1.0,12.0,2011-03-11,13111.352499998555
1.0,12.0,2011-03-18,13642.752499999393
1.0,12.0,2011-03-25,12590.732499999142
1.0,12.0,2011-04-01,12758.702499999114
1.0,12.0,2011-04-08,10834.202499998648
1.0,12.0,2011-04-15,11913.192499998639
1.0,12.0,2011-04-22,12281.622499998573
1.0,12.0,2011-04-29,11377.042499999197
1.0,13.0,2011-03-04,39579.212499972666
1.0,13.0,2011-03-11,34988.33249997324
1.0,13.0,2011-03-18,35962.47249997244
1.0,13.0,2011-03-25,34586.99249997269
1.0,13.0,2011-04-01,37259.79249997274
1.0,13.0,2011-04-08,36793.70249997312
1.0,13.0,2011-04-15,35818.52249997319
1.0,13.0,2011-04-22,35213.36249997327
1.0,13.0,2011-04-29,35872.46249997243
1.0,14.0,2011-03-04,16071.129999988545
1.0,14.0,2011-03-11,13134.099999990147
1.0,14.0,2011-03-18,10541.129999988545
1.0,14.0,2011-03-25,10634.819999988955
1.0,14.0,2011-04-01,12136.099999989216
1.0,14.0,2011-04-08,10676.419999990445
1.0,14.0,2011-04-15,10111.489999989812
1.0,14.0,2011-04-22,10551.719999990259
1.0,14.0,2011-04-29,9974.669999988582
1.0,16.0,2011-03-04,18838.86500000374
1.0,16.0,2011-03-11,25475.87500000212
1.0,16.0,2011-03-18,43451.26500000365
1.0,16.0,2011-03-25,28388.57500000324
1.0,16.0,2011-04-01,47769.74500000317
1.0,16.0,2011-04-08,54685.72500000222
1.0,16.0,2011-04-15,61252.27500000203
1.0,16.0,2011-04-22,53313.77500000203
1.0,16.0,2011-04-29,50567.1350000033
1.0,17.0,2011-03-04,11305.794999999014
1.0,17.0,2011-03-11,11441.314999999964
1.0,17.0,2011-03-18,9745.944999998455
1.0,17.0,2011-03-25,7548.154999998884
1.0,17.0,2011-04-01,8220.374999999089
1.0,17.0,2011-04-08,6807.48499999989
1.0,17.0,2011-04-15,6438.814999999964
1.0,17.0,2011-04-22,6685.12500000002
1.0,17.0,2011-04-29,7417.564999999033
1.0,18.0,2011-03-04,543.5300000058487
1.0,18.0,2011-03-11,1184.000000005326
1.0,18.0,2011-03-18,2212.280000005703
1.0,18.0,2011-03-25,3946.080000006157
1.0,18.0,2011-04-01,17825.330000006274
1.0,18.0,2011-04-08,8576.980000005919
1.0,18.0,2011-04-15,493.480000006326
1.0,18.0,2011-04-22,-25.839999993651873
1.0,18.0,2011-04-29,5180.760000005539
1.0,19.0,2011-03-04,1370.6025000006446
1.0,19.0,2011-03-11,1556.0925000008099
1.0,19.0,2011-03-18,1695.8625000006539
1.0,19.0,2011-03-25,1967.5625000006655
1.0,19.0,2011-04-01,1328.2725000006865
1.0,19.0,2011-04-08,1694.5925000008099
1.0,19.0,2011-04-15,1297.452500000796
1.0,19.0,2011-04-22,1391.202500000796
1.0,19.0,2011-04-29,1198.6425000006818
1.0,20.0,2011-03-04,3580.282499999246
1.0,20.0,2011-03-11,5841.022499999703
1.0,20.0,2011-03-18,3822.6724999991434
1.0,20.0,2011-03-25,3560.3124999992738
1.0,20.0,2011-04-01,2833.3024999992645
1.0,20.0,2011-04-08,2374.7224999996556
1.0,20.0,2011-04-15,2649.022499999702
1.0,20.0,2011-04-22,2373.542499999721
1.0,20.0,2011-04-29,3321.6224999993296
1.0,21.0,2011-03-04,7265.027499995182
1.0,21.0,2011-03-11,6774.887499995983
1.0,21.0,2011-03-18,6818.937499995098
1.0,21.0,2011-03-25,6111.357499995489
1.0,21.0,2011-04-01,7422.317499995452
1.0,21.0,2011-04-08,7142.157499996001
1.0,21.0,2011-04-15,5896.647499995992
1.0,21.0,2011-04-22,6116.8574999961875
1.0,21.0,2011-04-29,6654.817499995219
1.0,22.0,2011-03-04,7170.427499995241
1.0,22.0,2011-03-11,9323.41749999593
1.0,22.0,2011-03-18,8289.027499994869
1.0,22.0,2011-03-25,6415.327499995148
1.0,22.0,2011-04-01,6540.287499995577
1.0,22.0,2011-04-08,6358.647499995912
1.0,22.0,2011-04-15,5739.037499996042
1.0,22.0,2011-04-22,4767.85749999634
1.0,22.0,2011-04-29,4222.077499995148
1.0,23.0,2011-03-04,20047.362499992094
1.0,23.0,2011-03-11,18480.302499991107
1.0,23.0,2011-03-18,21185.702499991945
1.0,23.0,2011-03-25,20159.59249999161
1.0,23.0,2011-04-01,19720.242499991517
1.0,23.0,2011-04-08,22731.692499991237
1.0,23.0,2011-04-15,20864.692499991237
1.0,23.0,2011-04-22,20431.432499990995
1.0,23.0,2011-04-29,19328.132499991647
1.0,24.0,2011-03-04,7219.229999996492
1.0,24.0,2011-03-11,5730.289999996315
1.0,24.0,2011-03-18,4853.149999996534
1.0,24.0,2011-03-25,4951.599999996487
1.0,24.0,2011-04-01,7552.709999996473
1.0,24.0,2011-04-08,6692.10999999638
1.0,24.0,2011-04-15,5869.399999996417
1.0,24.0,2011-04-22,5493.40999999631
1.0,24.0,2011-04-29,4961.919999996552
1.0,25.0,2011-03-04,8371.504999990944
1.0,25.0,2011-03-11,8731.754999992341
1.0,25.0,2011-03-18,10239.504999990479
1.0,25.0,2011-03-25,11902.504999990944
1.0,25.0,2011-04-01,12990.50499999141
1.0,25.0,2011-04-08,10932.004999992341
1.0,25.0,2011-04-15,10386.854999992434
1.0,25.0,2011-04-22,9321.454999992528
1.0,25.0,2011-04-29,9461.604999991037
1.0,26.0,2011-03-04,6232.7574999963
1.0,26.0,2011-03-11,5337.5074999981625
1.0,26.0,2011-03-18,5383.767499996076
1.0,26.0,2011-03-25,3330.1974999967097
1.0,26.0,2011-04-01,6598.0474999972685
1.0,26.0,2011-04-08,6612.187499998796
1.0,26.0,2011-04-15,6131.387499998051
1.0,26.0,2011-04-22,5287.277499998647
1.0,26.0,2011-04-29,5431.547499996337
1.0,27.0,2011-03-04,986.7824999975069
1.0,27.0,2011-03-11,649.2824999978561
1.0,27.0,2011-03-18,733.2824999973905
1.0,27.0,2011-03-25,730.2824999975069
1.0,27.0,2011-04-01,453.78249999762335
1.0,27.0,2011-04-08,630.5324999978561
1.0,27.0,2011-04-15,540.7824999978561
1.0,27.0,2011-04-22,547.2824999979725
1.0,27.0,2011-04-29,580.5724999975441
1.0,28.0,2011-03-04,734.3099999997992
1.0,28.0,2011-03-11,570.7800000000041
1.0,28.0,2011-03-18,538.1399999997573
1.0,28.0,2011-03-25,458.21999999983177
1.0,28.0,2011-04-01,727.4699999998318
1.0,28.0,2011-04-08,883.7399999999668
1.0,28.0,2011-04-15,314.7399999999668
1.0,28.0,2011-04-22,359.1299999999808
1.0,28.0,2011-04-29,423.5099999997526
1.0,29.0,2011-03-04,4533.892499994772
1.0,29.0,2011-03-11,3069.15249999548
1.0,29.0,2011-03-18,4633.592499994726
1.0,29.0,2011-03-25,2747.9424999950515
1.0,29.0,2011-04-01,3370.732499995089
1.0,29.0,2011-04-08,3544.712499995536
1.0,29.0,2011-04-15,3190.692499995517
1.0,29.0,2011-04-22,3414.3024999956197
1.0,29.0,2011-04-29,3020.9424999948187
1.0,30.0,2011-03-04,3498.167499998285
1.0,30.0,2011-03-11,2159.1674999989837
1.0,30.0,2011-03-18,2960.167499998285
1.0,30.0,2011-03-25,2461.667499998518
1.0,30.0,2011-04-01,3415.9274999985273
1.0,30.0,2011-04-08,3544.147499998965
1.0,30.0,2011-04-15,3518.0474999991047
1.0,30.0,2011-04-22,3421.657499999207
1.0,30.0,2011-04-29,2865.8374999984435
1.0,31.0,2011-03-04,2327.73499999992
1.0,31.0,2011-03-11,1835.2750000001902
1.0,31.0,2011-03-18,1986.3749999998176
1.0,31.0,2011-03-25,1677.3549999999154
1.0,31.0,2011-04-01,1332.93499999999
1.0,31.0,2011-04-08,1170.2750000001902
1.0,31.0,2011-04-15,1246.3550000001483
1.0,31.0,2011-04-22,1218.3550000001483
1.0,31.0,2011-04-29,1153.1849999998735
1.0,32.0,2011-03-04,8513.679999995546
1.0,32.0,2011-03-11,5544.619999996887
1.0,32.0,2011-03-18,4781.479999995359
1.0,32.0,2011-03-25,5304.929999995546
1.0,32.0,2011-04-01,6254.449999995564
1.0,32.0,2011-04-08,7369.879999996663
1.0,32.0,2011-04-15,5435.719999996514
1.0,32.0,2011-04-22,4539.349999996868
1.0,32.0,2011-04-29,7716.029999995639
1.0,33.0,2011-03-04,5421.617499998935
1.0,33.0,2011-03-11,4873.2674999997735
1.0,33.0,2011-03-18,6018.167499998982
1.0,33.0,2011-03-25,3915.7874999990936
1.0,33.0,2011-04-01,6888.647499999196
1.0,33.0,2011-04-08,5412.657499999671
1.0,33.0,2011-04-15,3956.7674999997735
1.0,33.0,2011-04-22,4290.7674999997735
1.0,33.0,2011-04-29,4051.017499999075
1.0,34.0,2011-03-04,11985.77749999207
1.0,34.0,2011-03-11,11123.277499992535
1.0,34.0,2011-03-18,12808.277499991837
1.0,34.0,2011-03-25,9052.107499992144
1.0,34.0,2011-04-01,9696.937499991986
1.0,34.0,2011-04-08,13277.937499992451
1.0,34.0,2011-04-15,13046.917499992433
1.0,34.0,2011-04-22,11918.777499992535
1.0,34.0,2011-04-29,10093.76749999206
1.0,35.0,2011-03-04,3261.397499998853
1.0,35.0,2011-03-11,3435.397499998504
1.0,35.0,2011-03-18,3370.3974999989696
1.0,35.0,2011-03-25,2448.397499998853
1.0,35.0,2011-04-01,2784.3974999987367
1.0,35.0,2011-04-08,4451.397499998504
1.0,35.0,2011-04-15,3713.397499998504
1.0,35.0,2011-04-22,3556.397499998504
1.0,35.0,2011-04-29,2963.397499998853
1.0,36.0,2011-03-04,861.9999999959182
1.0,36.0,2011-03-11,1104.9999999957436
1.0,36.0,2011-03-18,1150.9999999959182
1.0,36.0,2011-03-25,916.99999999586
1.0,36.0,2011-04-01,1100.49999999586
1.0,36.0,2011-04-08,1020.9999999957436
1.0,36.0,2011-04-15,1358.119999995739
1.0,36.0,2011-04-22,647.4999999957436
1.0,36.0,2011-04-29,1320.99999999586
1.0,37.0,2011-03-04,4045.899999999865
1.0,37.0,2011-03-11,3451.2099999995717
1.0,37.0,2011-03-18,3313.979999999823
1.0,37.0,2011-03-25,2838.2399999998324
1.0,37.0,2011-04-01,3371.4599999998045
1.0,37.0,2011-04-08,2971.4999999994925
1.0,37.0,2011-04-15,3198.749999999609
1.0,37.0,2011-04-22,3182.009999999502
1.0,37.0,2011-04-29,3481.189999999786
1.0,38.0,2011-03-04,82533.49749996194
1.0,38.0,2011-03-11,72425.98749997893
1.0,38.0,2011-03-18,45416.3574999539
1.0,38.0,2011-03-25,70106.04749995896
1.0,38.0,2011-04-01,75817.50749996731
1.0,38.0,2011-04-08,72940.09749997834
1.0,38.0,2011-04-15,51852.63749997744
1.0,38.0,2011-04-22,61456.517499980124
1.0,38.0,2011-04-29,102062.52749996314
1.0,40.0,2011-03-04,66884.99249998313
1.0,40.0,2011-03-11,59683.58249998328
1.0,40.0,2011-03-18,57268.512499983095
1.0,40.0,2011-03-25,57721.44249998309
1.0,40.0,2011-04-01,62162.202499983156
1.0,40.0,2011-04-08,59025.55249998325
1.0,40.0,2011-04-15,58284.33249998328
1.0,40.0,2011-04-22,58507.52249998328
1.0,40.0,2011-04-29,57689.87249998302
1.0,41.0,2011-03-04,1628.2999999995986
1.0,41.0,2011-03-11,1295.1399999994496
1.0,41.0,2011-03-18,1228.0999999996452
1.0,41.0,2011-03-25,1800.9699999995823
1.0,41.0,2011-04-01,1673.099999999587
1.0,41.0,2011-04-08,1568.3399999994613
1.0,41.0,2011-04-15,1279.3399999994613
1.0,41.0,2011-04-22,1101.339999999403
1.0,41.0,2011-04-29,945.3399999995777
1.0,42.0,2011-03-04,10244.325000001092
1.0,42.0,2011-03-11,8880.005000000561
1.0,42.0,2011-03-18,9563.035000001055
1.0,42.0,2011-03-25,8851.845000000878
1.0,42.0,2011-04-01,9806.935000000962
1.0,42.0,2011-04-08,9373.945000000505
1.0,42.0,2011-04-15,9453.745000000552
1.0,42.0,2011-04-22,8213.985000000543
1.0,42.0,2011-04-29,9911.995000001018
1.0,44.0,2011-03-04,4402.00999999679
1.0,44.0,2011-03-11,4851.089999996835
1.0,44.0,2011-03-18,3617.339999996763
1.0,44.0,2011-03-25,3951.289999996789
1.0,44.0,2011-04-01,4152.869999996776
1.0,44.0,2011-04-08,3626.6199999968344
1.0,44.0,2011-04-15,4096.169999996822
1.0,44.0,2011-04-22,4423.629999996843
1.0,44.0,2011-04-29,4351.439999996783
1.0,45.0,2011-03-04,51.54666666668345
1.0,45.0,2011-03-11,7.166666666686069
1.0,45.0,2011-03-18,-14.303333333315095
1.0,45.0,2011-04-22,1.1666666666860692
1.0,46.0,2011-03-04,21004.82249998684
1.0,46.0,2011-03-11,18554.042499986463
1.0,46.0,2011-03-18,18756.83249998685
1.0,46.0,2011-03-25,17243.142499986672
1.0,46.0,2011-04-01,19492.86249998676
1.0,46.0,2011-04-08,18121.852499986402
1.0,46.0,2011-04-15,17834.09249998651
1.0,46.0,2011-04-22,18264.63249998643
1.0,46.0,2011-04-29,18559.68249998671
1.0,47.0,2011-03-11,-698.0
1.0,47.0,2011-04-08,14.000000000000469
1.0,48.0,2011-03-04,1281.7500000010152
1.0,48.0,2011-03-11,1118.7500000010152
1.0,48.0,2011-03-18,977.7500000010152
1.0,48.0,2011-03-25,884.7500000010152
1.0,48.0,2011-04-01,757.7500000010152
1.0,48.0,2011-04-08,1271.7500000010152
1.0,48.0,2011-04-15,1024.7500000010152
1.0,48.0,2011-04-22,1181.7500000010152
1.0,49.0,2011-03-04,14921.465000000759
1.0,49.0,2011-03-11,11743.685000001895
1.0,49.0,2011-03-18,9677.185000000498
1.0,49.0,2011-03-25,9786.58500000087
1.0,49.0,2011-04-01,11231.515000001038
1.0,49.0,2011-04-08,7743.585000002267
1.0,49.0,2011-04-15,8440.335000001802
1.0,49.0,2011-04-22,11214.445000002137
1.0,49.0,2011-04-29,7569.455000000982
1.0,52.0,2011-03-04,3020.8625000007246
1.0,52.0,2011-03-11,2300.5625000008527
1.0,52.0,2011-03-18,2755.0725000006873
1.0,52.0,2011-03-25,3144.8525000007153
1.0,52.0,2011-04-01,2976.972500000769
1.0,52.0,2011-04-08,2786.642500000869
1.0,52.0,2011-04-15,2234.722500000827
1.0,52.0,2011-04-22,2550.0625000008527
1.0,52.0,2011-04-29,2433.302500000727
1.0,54.0,2011-03-04,-181.90000000130385
1.0,54.0,2011-03-11,-141.8700000011595
1.0,54.0,2011-03-18,-297.8700000012759
1.0,54.0,2011-03-25,-200.8700000012759
1.0,54.0,2011-04-01,-160.87000000139233
1.0,54.0,2011-04-15,-168.90000000118744
1.0,54.0,2011-04-22,-292.8700000011595
1.0,54.0,2011-04-29,-103.87000000127591
1.0,55.0,2011-03-04,13892.149999989706
1.0,55.0,2011-03-11,12182.17999999183
1.0,55.0,2011-03-18,12362.97999998978
1.0,55.0,2011-03-25,9609.029999989594
1.0,55.0,2011-04-01,11207.489999990488
1.0,55.0,2011-04-08,8957.199999991382
1.0,55.0,2011-04-15,7310.069999991494
1.0,55.0,2011-04-22,8854.939999991606
1.0,55.0,2011-04-29,9211.719999990004
1.0,56.0,2011-03-04,5950.252500003708
1.0,56.0,2011-03-11,9425.442500003186
1.0,56.0,2011-03-18,12487.952500003661
1.0,56.0,2011-03-25,6626.3725000035865
1.0,56.0,2011-04-01,14579.992500003465
1.0,56.0,2011-04-08,14638.762500003018
1.0,56.0,2011-04-15,16999.26250000302
1.0,56.0,2011-04-22,13914.262500003018
1.0,56.0,2011-04-29,11198.522500003726
1.0,58.0,2011-03-04,3118.507500000568
1.0,58.0,2011-03-11,807.5075000024308
1.0,58.0,2011-03-18,702.5074999996368
1.0,58.0,2011-03-25,759.5075000005681
1.0,58.0,2011-04-01,1909.5075000005681
1.0,58.0,2011-04-08,1584.5075000024308
1.0,58.0,2011-04-15,-389.4924999975692
1.0,58.0,2011-04-22,3956.507500002431
1.0,58.0,2011-04-29,215.50750000056814
1.0,59.0,2011-03-04,344.8474999946768
1.0,59.0,2011-03-11,138.78749999531942
1.0,59.0,2011-03-18,202.757499994593
1.0,59.0,2011-03-25,343.667499994742
1.0,59.0,2011-04-01,389.667499994742
1.0,59.0,2011-04-08,118.20749999547775
1.0,59.0,2011-04-15,117.52749999531011
1.0,59.0,2011-04-22,-32.57250000455019
1.0,59.0,2011-04-29,-133.39250000531388
1.0,60.0,2011-03-04,1432.8499999998207
1.0,60.0,2011-03-11,968.2499999997858
1.0,60.0,2011-03-18,739.4499999998266
1.0,60.0,2011-03-25,906.6499999998091
1.0,60.0,2011-04-01,1241.0499999998178
1.0,60.0,2011-04-08,1091.449999999783
1.0,60.0,2011-04-15,950.64999999978
1.0,60.0,2011-04-22,765.8499999997771
1.0,60.0,2011-04-29,994.6499999998236
1.0,67.0,2011-03-04,5172.710000001498
1.0,67.0,2011-03-11,5412.610000002802
1.0,67.0,2011-03-18,5167.770000001088
1.0,67.0,2011-03-25,4823.6100000018705
1.0,67.0,2011-04-01,6616.990000001759
1.0,67.0,2011-04-08,5024.35000000256
1.0,67.0,2011-04-15,4215.510000002709
1.0,67.0,2011-04-22,5038.120000003044
1.0,67.0,2011-04-29,7336.760000001312
1.0,71.0,2011-03-04,2782.7800000030693
1.0,71.0,2011-03-11,2339.36000000326
1.0,71.0,2011-03-18,2218.6900000030437
1.0,71.0,2011-03-25,2195.020000003118
1.0,71.0,2011-04-01,2144.7800000031275
1.0,71.0,2011-04-08,2319.820000003281
1.0,71.0,2011-04-15,1674.280000003244
1.0,71.0,2011-04-22,1768.2800000033021
1.0,71.0,2011-04-29,1273.660000003074
1.0,72.0,2011-03-04,52095.567500011515
1.0,72.0,2011-03-11,31616.63750002299
1.0,72.0,2011-03-18,27639.377500010174
1.0,72.0,2011-03-25,27366.15750001509
1.0,72.0,2011-04-01,36649.49750001494
1.0,72.0,2011-04-08,29916.747500022393
1.0,72.0,2011-04-15,25281.047500023138
1.0,72.0,2011-04-22,28792.357500025522
1.0,72.0,2011-04-29,24701.35750001062
1.0,74.0,2011-03-04,13532.912499994549
1.0,74.0,2011-03-11,11961.98249999473
1.0,74.0,2011-03-18,11501.132499994521
1.0,74.0,2011-03-25,10313.462499994595
1.0,74.0,2011-04-01,10333.732499994614
1.0,74.0,2011-04-08,10603.762499994758
1.0,74.0,2011-04-15,9564.472499994721
1.0,74.0,2011-04-22,9207.972499994721
1.0,74.0,2011-04-29,10421.08249999459
1.0,79.0,2011-03-04,40695.29249997599
1.0,79.0,2011-03-11,29432.762499978526
1.0,79.0,2011-03-18,30368.01249997573
1.0,79.0,2011-03-25,26986.912499977036
1.0,79.0,2011-04-01,38674.46249997685
1.0,79.0,2011-04-08,35579.0224999783
1.0,79.0,2011-04-15,29899.21249997778
1.0,79.0,2011-04-22,25994.24249997804
1.0,79.0,2011-04-29,28213.972499976626
1.0,80.0,2011-03-04,15416.912499988917
1.0,80.0,2011-03-11,14444.822499989183
1.0,80.0,2011-03-18,15607.392499988782
1.0,80.0,2011-03-25,14121.86249998887
1.0,80.0,2011-04-01,14546.212499988964
1.0,80.0,2011-04-08,16154.842499989085
1.0,80.0,2011-04-15,15319.822499989066
1.0,80.0,2011-04-22,14019.842499989201
1.0,80.0,2011-04-29,13615.902499988908
1.0,81.0,2011-03-04,29449.654999996055
1.0,81.0,2011-03-11,28764.31499999667
1.0,81.0,2011-03-18,29780.094999996
1.0,81.0,2011-03-25,29363.24499999614
1.0,81.0,2011-04-01,29141.524999996167
1.0,81.0,2011-04-08,29515.58499999669
1.0,81.0,2011-04-15,28010.65499999652
1.0,81.0,2011-04-22,26948.094999996698
1.0,81.0,2011-04-29,28328.434999996083
1.0,82.0,2011-03-04,23233.44249998619
1.0,82.0,2011-03-11,21460.412499983137
1.0,82.0,2011-03-18,21607.51249998649
1.0,82.0,2011-03-25,19737.69249998526
1.0,82.0,2011-04-01,20954.422499984776
1.0,82.0,2011-04-08,20937.192499983397
1.0,82.0,2011-04-15,19824.62249998403
1.0,82.0,2011-04-22,19463.52249998347
1.0,82.0,2011-04-29,20373.91249998593
1.0,83.0,2011-03-04,8155.949999995642
1.0,83.0,2011-03-11,5798.959999996117
1.0,83.0,2011-03-18,5541.959999995419
1.0,83.0,2011-03-25,5008.999999995689
1.0,83.0,2011-04-01,7145.8299999957635
1.0,83.0,2011-04-08,6177.009999996164
1.0,83.0,2011-04-15,5145.129999996043
1.0,83.0,2011-04-22,3954.0999999962473
1.0,83.0,2011-04-29,3401.519999995707
1.0,85.0,2011-03-04,1838.0474999925127
1.0,85.0,2011-03-11,1908.7974999943754
1.0,85.0,2011-03-18,1883.197499991954
1.0,85.0,2011-03-25,1442.4574999926617
1.0,85.0,2011-04-01,1396.497499992699
1.0,85.0,2011-04-08,380.1474999940028
1.0,85.0,2011-04-15,2637.7274999940773
1.0,85.0,2011-04-22,1967.5274999948224
1.0,85.0,2011-04-29,2259.8874999923637
1.0,87.0,2011-03-04,54911.90250000976
1.0,87.0,2011-03-11,43022.71249998979
1.0,87.0,2011-03-18,52112.93250001095
1.0,87.0,2011-03-25,48037.262500009165
1.0,87.0,2011-04-01,57004.562500006185
1.0,87.0,2011-04-08,54033.56249999128
1.0,87.0,2011-04-15,55282.17249999069
1.0,87.0,2011-04-22,54867.05249998592
1.0,87.0,2011-04-29,55351.65250000976
1.0,90.0,2011-03-04,81261.85999994745
1.0,90.0,2011-03-11,77123.62999994514
1.0,90.0,2011-03-18,79940.92999994775
1.0,90.0,2011-03-25,74846.24999994712
1.0,90.0,2011-04-01,80460.42999994682
1.0,90.0,2011-04-08,78772.52999994552
1.0,90.0,2011-04-15,76335.2899999453
1.0,90.0,2011-04-22,71701.99999994526
1.0,90.0,2011-04-29,70764.03999994716
1.0,91.0,2011-03-04,67320.61999997946
1.0,91.0,2011-03-11,68233.52999997775
1.0,91.0,2011-03-18,67815.77999998147
1.0,91.0,2011-03-25,60179.59999997991
1.0,91.0,2011-04-01,62410.269999979835
1.0,91.0,2011-04-08,64742.10999997782
1.0,91.0,2011-04-15,68196.7999999773
1.0,91.0,2011-04-22,60616.779999975886
1.0,91.0,2011-04-29,59633.62999997924
1.0,92.0,2011-03-04,131585.39749991347
1.0,92.0,2011-03-11,123058.60749991528
1.0,92.0,2011-03-18,126074.32749991315
1.0,92.0,2011-03-25,115328.70749991351
1.0,92.0,2011-04-01,125547.36749991366
1.0,92.0,2011-04-08,128106.92749991558
1.0,92.0,2011-04-15,127266.03749991498
1.0,92.0,2011-04-22,110343.41749991533
1.0,92.0,2011-04-29,108219.55749991313
1.0,93.0,2011-03-04,70868.92499997478
1.0,93.0,2011-03-11,70911.96499997017
1.0,93.0,2011-03-18,70100.28499997605
1.0,93.0,2011-03-25,62401.24499997509
1.0,93.0,2011-04-01,70563.84499997471
1.0,93.0,2011-04-08,74114.40499996964
1.0,93.0,2011-04-15,75035.44499997061
1.0,93.0,2011-04-22,63100.764999969055
1.0,93.0,2011-04-29,63220.26499997464
1.0,94.0,2011-03-04,61739.36499999889
1.0,94.0,2011-03-11,63864.34499999748
1.0,94.0,2011-03-18,67256.52499999997
1.0,94.0,2011-03-25,61697.94499999897
1.0,94.0,2011-04-01,68710.10499999911
